Subject,Relationship,Object
NCT03821493,involves,Healthy Participants
NCT03821493,evaluates,Itraconazole
NCT03821493,measures_primary,AUC (0-inf) PF-06651600
NCT03821493,measures_secondary,Maximum observed plasma concentration
NCT03821493,has_criteria,BMI 17.5 to 30.5 kg/m2
NCT03821493,has_criteria,total body weight >50 kg
NCT03821493,has_criteria,congestive heart failure
NCT03821493,has_criteria,hypersensitivity itraconazole
NCT03821493,has_criteria,Hepatitis B
NCT03821493,has_criteria,malignancy
NCT04544293,involves,Autoimmune Pulmonary Alveolar Proteinosis
NCT04544293,evaluates,Inhaled Molgramostim Nebulizer Solution
NCT04544293,measures_primary,Change from baseline in % predicted DLCO
NCT04544293,measures_secondary,St. Georges Respiratory Questionnaire Total score
NCT04544293,measures_secondary,SGRQ Activity component score
NCT04544293,has_criteria,From Baseline to Week 24
NCT04544293,has_criteria,From Baseline to Week 48
NCT03181893,involves,Dermatomyositis
NCT03181893,evaluates,Intravenous Sabirnetug
NCT03181893,measures_primary,CDASI activity score
NCT03181893,measures_secondary,Treatment Emergent Adverse Events
NCT03181893,has_criteria,Baseline and Week 12
NCT01328093,involves,Schizophrenia
NCT01328093,evaluates,LY2140023
NCT01328093,evaluates,Aripiprazole
NCT01328093,measures_primary,Body Weight Change
NCT01328093,measures_secondary,Barnes Akathisia Scale
NCT01328093,measures_secondary,Simpson-Angus Scale
NCT01328093,has_criteria,Baseline
NCT04732793,involves,Knee Osteoarthritis
NCT04732793,evaluates,Hyruan ONE
NCT04732793,measures_primary,WOMAC pain score
NCT04732793,measures_secondary,WOMAC stiffness
NCT04732793,measures_secondary,WOMAC function
NCT04732793,has_criteria,Baseline to 13 weeks post injection
NCT02240693,involves,Alzheimer Disease
NCT02240693,evaluates,BI 409306
NCT02240693,measures_primary,Change From Baseline
NCT02240693,measures_secondary,ADCS-MCI-ADL Total Score
NCT02240693,has_criteria,Activities of Daily Living
NCT06456593,involves,Crohn's Disease
NCT06456593,evaluates,Obefazimod
NCT06456593,measures_primary,Crohn's Disease Activity Index (CDAI)
NCT06456593,measures_primary,Change from baseline in CDAI score
NCT06456593,measures_secondary,Simple Endoscopic Score for Crohn's disease (SES-CD)
NCT06456593,measures_secondary,Endoscopic response
NCT06456593,measures_secondary,SES-CD ulcer subscore > 1
NCT06456593,measures_secondary,CDAI clinical remission
NCT06456593,measures_secondary,PRO-2 clinical remission
NCT06456593,measures_secondary,CDAI clinical response
NCT06456593,measures_secondary,PRO-2 clinical response
NCT06456593,has_criteria,Week 12
NCT06456593,has_criteria,Week 52
NCT05590793,involves,Advanced Cancer of the Prostate
NCT05590793,evaluates,Triptorelin Pamoate
NCT05590793,measures_primary,Castrate levels testosterone
NCT05590793,measures_secondary,Treatment emergent adverse event
NCT05590793,measures_secondary,Clinical laboratory tests
NCT05590793,measures_secondary,Physical examination
NCT05590793,measures_secondary,Electrocardiogram readings
NCT05590793,measures_secondary,Vital signs
NCT05590793,measures_secondary,Prostate specific antigen
NCT05590793,has_criteria,Adult Chinese participants
NCT05732454,involves,Atopic Dermatitis
NCT05732454,evaluates,Etrasimod
NCT05732454,measures_primary,IGA clear or almost clear
NCT05732454,measures_secondary,Hemoglobin
NCT05732454,measures_secondary,RBC
NCT05732454,measures_secondary,Platelets
NCT05732454,measures_secondary,WBC
NCT05732454,measures_secondary,TBNK panel
NCT05732454,measures_secondary,Hematocrit
NCT05732454,measures_secondary,Total bilirubin
NCT05732454,measures_secondary,Urea Nitrogen
NCT05732454,measures_secondary,Creatinine
NCT05732454,has_criteria,oral treatments
NCT02220933,involves,Spinal Progressive Multiple Sclerosis
NCT02220933,evaluates,MD1003
NCT02220933,measures_primary,EDSS or TW25
NCT02220933,measures_secondary,MSWS
NCT02220933,has_criteria,decreased EDSS
NCT03836287,involves,Axillary Hyperhidrosis
NCT03836287,evaluates,Sofpironium Bromide Gel
NCT03836287,measures_primary,Hyperhidrosis Disease Severity
NCT03836287,measures_secondary,Gravimetric Sweat Production
NCT03836287,has_criteria,11-15 weeks
NCT03068754,involves,Amyotrophic Lateral Sclerosis
NCT03068754,evaluates,Acthar Gel
NCT03068754,measures_primary,ALSFRS-R score
NCT03068754,measures_secondary,Spirometry
NCT03068754,has_criteria,Clinically significant changes
NCT06272487,involves,Hypertension
NCT06272487,evaluates,Zilebesiran
NCT06272487,measures_primary,Change from Baseline
NCT06272487,measures_secondary,Serum Angiotensinogen
NCT06272487,has_criteria,Standard of Care
NCT02438787,involves,Anti-TNF(Alpha) Refractory
NCT02438787,evaluates,Ustekinumab
NCT02438787,measures_primary,ASAS 40 Response
NCT02438787,measures_secondary,ASAS 20 Response
